sig_names	sps_overlaps	GDS5027	GDS4051	GSE21653	GDS4083	GDS4114	GDS4766	GDS4093
ABBA	69	2.55421773774447e-15	3.22564145624377e-05	1.57909259696944e-10	0.0019966296465181	0.00123452284017337	0.00537028225508192	0.023247411569082
ADORNO	0	0.0303475752093193	0.0832645166635505	5.68664014038384e-05	0.00495788508127076	0.00533240170367979	0.12888507323289	0.0798533737313872
BEN-PORATH-EXP1	22	9.8263574808084e-08	3.22564145624377e-05	2.89294484222524e-08	0.000747033553946757	0.00100928883533017	0.00746232946140244	0.00772235632433469
BEN-PORATH-PRC2	1	9.32435651545939e-05	3.22564145624377e-05	6.6491275742583e-08	0.000747033553946757	0.00151432877276712	0.0227402961152996	0.0355710790001437
BUESS	0	0.00262488815400171	3.22564145624377e-05	6.78697476632458e-09	0.000747033553946757	0.000722533601551654	0.00480092915482116	0.015355555176885
BUFFA	0	0.0541295831047484	0.00053200550513925	0.000115045017427266	0.000747033553946757	0.0130568844463301	0.120025092582047	0.0802726880011266
CARTER	39	0.000388251538546031	3.22564145624377e-05	3.88679920702107e-09	0.0148867238334658	0.00108168764912887	0.0600993604638005	0.0214446994359223
CHANG	6	4.67729579375987e-06	3.22564145624377e-05	2.56088443844212e-07	0.000747033553946757	0.00104816104427486	0.0126063567270479	0.0166995159814207
CHI	0	7.40839240209318e-07	3.22564145624377e-05	9.69220442407747e-12	0.000747033553946757	0.0038829128562069	0.00340534807910473	0.0340013369928725
CRAWFORD	56	2.17339487043004e-08	3.22564145624377e-05	4.38139682173806e-10	0.000747033553946757	0.00202730517116317	0.00269208291676348	0.0049614974629819
DAI	24	0.00106691911799526	0.000275503811434268	5.02236441358277e-10	0.0114459196356358	0.00640318768573811	0.0393183690817384	0.0218549472805079
GLINSKY	4	0.0165182385808538	3.22564145624377e-05	6.33908326356293e-10	0.000747033553946757	0.00153829374900007	0.0892648220713142	0.0263576157230928
HALLSTROM	14	0.00252318986969771	3.22564145624377e-05	6.27316896559029e-11	0.000747033553946757	0.00599967732686973	0.00537028225508192	0.00776849269335946
HE	0	0.0643301348170119	3.22564145624377e-05	2.31761837453564e-05	0.00104526752735863	0.00787845661482135	0.0467531932480511	0.12278460437851
HU	0	0.0423891408790973	3.22564145624377e-05	3.25179978761214e-06	0.00104526752735863	0.00159735625711955	0.169474934314552	0.00184902029909316
HUA	10	1.17062173243756e-05	3.22564145624377e-05	2.90511057892178e-08	0.000747033553946757	0.000347930600264724	0.00269208291676348	0.0485484820190607
IVSHINA	10	1.17062173243756e-05	4.14604113267998e-05	8.35784198495055e-11	0.00495788508127076	0.0150347097283186	0.0300595678924124	0.0236914734937174
KOK	16	1.41584341645906e-11	3.22564145624377e-05	7.73765572650825e-12	0.00104526752735863	0.000830138608539583	0.0170218684201067	0.012808942800235
KORKOLA	1	0.000212422792404023	3.22564145624377e-05	1.06009768297552e-09	0.000747033553946757	0.00163797586912507	0.00923673548680658	0.0146940153647672
LIU	1	8.23650249959193e-08	3.22564145624377e-05	4.01825703588064e-09	0.000747033553946757	0.000584720220604731	0.00129177051484915	0.0151410098252204
MA	15	2.7235582359032e-06	3.22564145624377e-05	4.30923261779215e-09	0.000747033553946757	0.00216514765628041	0.00923673548680658	0.0188453647664822
MILLER	4	2.71654385233302e-07	3.22564145624377e-05	6.12732642373856e-06	0.000747033553946757	0.000799304972200104	0.0206718429062942	0.0319942025795268
MORI	0	0.00760891234574928	3.22564145624377e-05	6.73310323810049e-08	0.000747033553946757	0.00216514765628041	0.0042867606075806	0.00928230246901197
PAIK	5	2.19501897478972e-06	4.14604113267998e-05	3.38283493649384e-11	0.000747033553946757	0.0168371111970487	0.0764611892017419	0.0225457108378158
PAWITAN	12	0.0227625799641316	4.14604113267998e-05	2.52301849066779e-09	0.000747033553946757	0.000830138608539583	0.000453116940882056	0.0228526847260915
PEI	0	0.00245740712289868	3.22564145624377e-05	3.08453994235866e-06	0.00272584002740095	0.001952483604415	0.00923673548680658	0.0294093615262524
RAMASWAMY	2	9.73654156761824e-06	3.22564145624377e-05	7.58640594476668e-05	0.000747033553946757	0.000323461222592392	0.00923673548680658	0.0503890734160772
REUTER	5	8.62437259686801e-10	3.22564145624377e-05	1.31103514709989e-10	0.000747033553946757	0.000333882352112214	0.00599991923890859	0.0135276103305928
RHODES	39	0.000338498669012831	3.22564145624377e-05	2.04704513242063e-09	0.0192082510970139	0.001041580609897	0.0170218684201067	0.0153904383330879
SAAL	20	1.17062173243756e-05	3.22564145624377e-05	1.49646618370235e-07	0.000747033553946757	0.00136519251186574	0.000299759644913314	0.00969861232746288
SHIPITSIN	2	0.00112883585534152	3.22564145624377e-05	0.000346386491234884	0.000747033553946757	0.00312147212251869	0.0154187882455617	0.018398888870453
SORLIE	0	9.21024929976336e-06	0.000344157853846591	3.27056047392903e-05	0.000747033553946757	0.00398087877512032	0.0300595678924124	0.0406085262124726
SOTIRIOU-93	19	1.33054342465639e-05	3.22564145624377e-05	1.5808375078503e-07	0.000747033553946757	0.00214490111127824	6.97730358141365e-05	0.00396544845737037
SOTIRIOU-GGI	47	2.4519679069514e-05	0.000174886592542093	2.10232979591347e-10	0.0245885664488587	0.00792730509821199	0.000226185525871322	0.0242746541073055
META-PCNA	43	1.19228800447167e-05	3.22564145624377e-05	3.38824248744107e-09	0.00495788508127076	0.0042896976921036	0.0113784765311933	0.0191027885156639
TAUBE	0	2.1651276784969e-05	3.22564145624377e-05	7.1538384019601e-06	0.000747033553946757	0.000288553860596494	0.0139501219203818	0.0252780583884729
